Unit_Name,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,Tower,Total_Facilities,Currency,Annual_Price
South Hills Apartment 2BR Tower Any,2,2,Kuningan,Jakarta Selatan,106.8311,-6.2232,1,97,Tower Any,18,IDR,235000000
The Nest Apartment Studio View City,0,1,Karang Tengah,Tangerang,106.723973,-6.195343,0,0,Tower B,14,IDR,32400000
Mediterania Garden Residence 1 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788342,-6.174634,1,42,Tower C,20,IDR,40000000
Semanan Indah Apartment 1BR Fully Furnished,1,1,Cengkareng,Jakarta Barat,106.7199,-6.1638,1,30,Tower Anggrek,9,IDR,27100000
Cosmo Terrace - Thamrin City 1BR Fully Furnished,1,1,Thamrin,Jakarta Pusat,106.815474,-6.194509,1,38,Tower 1,21,IDR,78000000
The Royale SpringHill Residence 2BR Fully Furnished,2,2,Kemayoran,Jakarta Pusat,106.85069,-6.146146,1,165,Tower -,24,IDR,200000000
Senayan Residences 2BR,2,2,Senayan,Jakarta Selatan,106.794123,-6.222613,1,95,Tower 3,15,IDR,268000000
Hamptons Park Apartment 2BR Tower A,2,1,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,58,Tower A,24,IDR,144000000
Puri Orchard Apartment Studio View City and Pool,0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,27,Tower B,19,IDR,35000000
Maqna Residence 2BR View City,2,2,Kebon Jeruk,Jakarta Barat,106.761852,-6.196997,1,76,Tower -,18,IDR,95000000
Grand ITC Permata Hijau 3BR View City (Barat),3,2,Permata Hijau,Jakarta Selatan,106.783223,-6.220912,1,127,Tower A,22,IDR,193000000
Aspen Residence Apartment 3BR Fully Furnished,3,2,Fatmawati,Jakarta Selatan,106.795392,-6.303504,1,83,Tower A,22,IDR,135000000
Puri Orchard Apartment 1BR Non Furnished,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower Orange groove,13,IDR,30000000
Parama Apartment 3BR Fully Furnished,3,2,TB Simatupang,Jakarta Selatan,106.7874,-6.2914,1,141,Tower -,3,IDR,175000000
Royal Mediterania Garden Residence 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.789248,-6.176076,1,53,Tower Lavender,20,IDR,80000000
Pasar Baru Mansion Apartment Studio 0 Furnished,0,1,Pasar Baru,Jakarta Pusat,106.832645,-6.16298,1,32,Tower A,21,IDR,45000000
Gading Mediterania Residence 1BR View Kolam,1,1,Kelapa Gading,Jakarta Utara,106.8944,-6.159513,1,42,Tower Casa Catalania,22,IDR,45000000
Menteng Square Apartment 2BR View City,2,1,Menteng,Jakarta Pusat,106.851858,-6.200232,1,49,Tower B,20,IDR,49000000
The H Residences 2BR Fully Furnished,2,1,MT Haryono,Jakarta Timur,106.872311,-6.245309,1,64,Tower 1,20,IDR,114000000
Capitol Suites Apartment Studio View City,0,1,Menteng,Jakarta Pusat,106.838974,-6.180433,1,36,Tower 1,23,IDR,96000000
Casablanca 1BR,1,1,Casablanca,Jakarta Selatan,106.845273,-6.222923,1,80,Tower 2,18,IDR,180000000
The Peak Apartment 2BR Tower Renais,2,2,Sudirman,Jakarta Selatan,106.823647,-6.210159,1,159,Tower Renais,22,IDR,360000000
The Mansion Kemayoran Jasmine 2BR Tower Bellavista,2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,0,73,Tower Bellavista,16,IDR,50000000
Puri Orchard Apartment 1BR Tower CH,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower CH,13,IDR,36000000
Sky Terrace Apartment 1BR Tower Uluwatu,1,1,Daan Mogot,Jakarta Barat,106.712876,-6.151427,1,37,Tower Uluwatu,19,IDR,60000000
Ambassador 2 Apartment 2BR View City,2,2,Kuningan,Jakarta Selatan,106.825918,-6.223273,1,80,Tower -,20,IDR,121450000
Season City Apartment 2BR Fully Furnished,2,1,Grogol,Jakarta Barat,106.796056,-6.153652,1,45,Tower A,21,IDR,39000000
Kemang View Apartment 2BR Fully Furnished,2,1,Pekayon,Bekasi,106.9902,-6.2565,1,36,Tower Flamboyan,11,IDR,46000000
Elpis Residences Apartment 2BR Tower C,2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,0,44,Tower C,15,IDR,60000000
Bandara City Apartment 1BR Fully Furnished,1,1,Duri Kosambi,Jakarta Barat,106.6918,-6.092,1,32,Tower Emerald,15,IDR,29000000
Puri Orchard Apartment 1BR Fully Furnished,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,35,Tower Orange Groove,21,IDR,48000000
Taman Puri Permata Hijau 3BR Tower,3,2,Permata Hijau,Jakarta Selatan,106.778172,-6.215993,1,240,Tower -,17,IDR,518400000
The Grove Apartment 2BR Fully Furnished,2,2,Kuningan,Jakarta Selatan,106.834698,-6.217791,1,86,Tower Empyreal,21,IDR,180000000
The Mansion Kemayoran Jasmine 2BR View city,2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,1,70,Tower Aurora,21,IDR,75000000
Puri Mansion  Studio Tower TA,0,1,Puri Indah,Jakarta Barat,106.728591,-6.182729,0,26,Tower TA,4,IDR,40000000
Bassura City Apartment 2BR Tower Heliconia,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,34,Tower Heliconia,19,IDR,52000000
Royal Mediterania Garden Residence 1BR Tower Lavender,1,1,Tanjung Duren,Jakarta Barat,106.789248,-6.176076,1,33,Tower Lavender,19,IDR,70000000
Puri Park View Apartment 2BR Fully Furnished,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35,Tower AB,19,IDR,36000000
MOI Frenchwalk 3BR View City,3,2,Kelapa Gading,Jakarta Utara,106.89144,-6.149391,1,96,Tower Nice Garden,21,IDR,120000000
Green Palm Residence Studio Fully Furnished,0,1,Duri Kosambi,Jakarta Barat,106.715409,-6.174903,1,21,Tower C,20,IDR,26000000
Taman Anggrek Residence 1BR Fully Furnished,1,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,38,Tower Espiritu,12,IDR,55000000
Lavenue Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.842971,-6.24805,1,104,Tower South,22,IDR,200050000
D'lofts Kemanggisan 1BR View Balcony,1,1,Palmerah,Jakarta Barat,106.78429,-6.204997,1,30,Tower -,15,IDR,43200000
Menteng Square Apartment 2BR Tower A,2,1,Menteng,Jakarta Pusat,106.851858,-6.200232,1,30,Tower A,22,IDR,44000000
Thamrin Residence Apartment 1BR Fully Furnished,1,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,38,Tower B,23,IDR,78000000
Batavia Apartment 1BR Fully Furnished,1,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,48,Tower 1,23,IDR,90000000
The Nest Apartment 2BR Tower A,2,1,Karang Tengah,Tangerang,106.723973,-6.195343,0,46,Tower A,16,IDR,27000000
Neo Soho Residence 1BR Tower 1,1,2,Tanjung Duren,Jakarta Barat,106.790105,-6.174872,0,102,Tower 1,16,IDR,125000000
DISEWAKAN MENTENG PARK TIPE STUDIO HARGA NEGO,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,33,Tower Sapphire,16,IDR,65000000
Taman Anggrek Condominium Apartment 2BR View Pool (Barat,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,Tower 1,24,IDR,110000000
Green Pramuka City Apartment Studio View Rawamangun,0,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,21,Tower Bougenville,19,IDR,42250000
Belmont Residence 2BR Tower Montblanc,2,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,43,Tower Montblanc,17,IDR,50000000
Grand Kamala Lagoon Apartment Studio Tower Barclay,0,1,Pekayon,Bekasi,106.9791,-6.2507,1,27,Tower Barclay,15,IDR,40000000
Taman Rasuna Apartment 3BR Fully Furnished,3,2,Kuningan,Jakarta Selatan,106.83676,-6.218768,1,91,Tower 1,24,IDR,127000000
Batavia Apartment 3BR Fully Furnished,3,3,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,107,Tower 2,23,IDR,180000000
Batavia Apartment 2BR Tower 1,2,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,90,Tower 1,22,IDR,180000000
Essence Darmawangsa Apartment 2BR View City,2,1,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,63,Tower Eminence,22,IDR,245350000
District 8 Senopati 3BR,3,3,Senopati,Jakarta Selatan,106.80668,-6.228444,1,179,Tower Infinity,18,USD,42000
Taman Anggrek Condominium Apartment 2BR Tower 4,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,Tower 4,24,IDR,130000000
Gading Mediterania Residence 1BR Fully Furnished,1,1,Kelapa Gading,Jakarta Utara,106.8944,-6.159513,1,36,Tower A,21,IDR,49800000
Green Pramuka City Apartment 2BR Tower Penelope,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower Penelope,20,IDR,70700000
Maple Park Apartment 3BR View City,3,2,Sunter,Jakarta Utara,106.856909,-6.149478,1,90,Tower A,22,IDR,60000000
Menteng Park Studio View Selatan Gn Salak,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,Tower Diamond,22,IDR,65000000
Cosmo Terrace - Thamrin City 2BR View city,2,1,Thamrin,Jakarta Pusat,106.815474,-6.194509,1,50,Tower Cosmo Terrace,19,IDR,95000000
Kota Ayodhya Apartment 2BR View Lap tennis n taman,2,1,Cikokol,Tangerang,106.629106,-6.199893,0,38,Tower Coral,19,IDR,40000000
Hamptons Park Apartment 3BR View Pool (Utara),3,1,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,82,Tower A,24,IDR,259300000
Green Pramuka City Apartment 2BR Fully Furnished,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,Tower bougenville,22,IDR,48000000
Puri Orchard Apartment 2BR Tower Orange Groove,2,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,50,Tower Orange Groove,14,IDR,55000000
Serpong Green View Apartment 2BR View city,2,1,Serpong,Tangerang,106.6866,-6.294,1,0,Tower b,16,IDR,55000000
Akasa Pure Living Apartment Studio Fully Furnished,0,1,Serpong,Tangerang,106.682451,-6.293003,1,20,Tower 2,18,IDR,30000000
Aston De Paradiso Apartment 2BR Fully Furnished,2,1,Pluit,Jakarta Utara,106.7951,-6.1241,1,42,Tower 1,16,IDR,50000000
Westmark Apartment 2BR View Pool,2,1,Tanjung Duren,Jakarta Barat,106.793682,-6.180334,1,54,Tower 1,20,IDR,83000000
Ambassador 1 Apartment 3BR View Pool,3,2,Kuningan,Jakarta Selatan,106.828211,-6.223742,1,118,Tower 1,19,IDR,144000000
Gading Nias Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.91636,-6.154352,1,35,Tower Chrysant,20,IDR,29000000
Sunter Park View Apartment Studio Fully Furnished,0,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,22,Tower AD,21,IDR,30000000
Casablanca East Residence 2BR Fully Furnished,2,1,Pondok Bambu,Jakarta Timur,106.89933,-6.224079,1,35,Tower AB,20,IDR,36000000
Royale SpringHill Residence 1BR Tower magnolia,1,1,Kemayoran,Jakarta Pusat,106.85069,-6.146146,0,79,Tower magnolia,21,IDR,80000000
Taman Kemayoran Kondominium 3BR Fully Furnished,3,3,Kemayoran,Jakarta Pusat,106.851487,-6.153447,1,100,Tower Flamboyan,21,IDR,45000000
Puri Orchard Apartment Studio View city,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,35,Tower OG a,19,IDR,48750000
Kemang Village Apartment 4BR View City (Selatan),4,3,Kemang,Jakarta Selatan,106.811453,-6.259374,0,249,Tower Bloomington,19,USD,44400
Puri Orchard Apartment 1BR Tower CH,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower CH,15,IDR,35000000
Green Park View Apartment 2BR Tower G,2,1,Cengkareng,Jakarta Barat,106.719271,-6.155485,0,36,Tower G,15,IDR,22000000
Signature Park Apartment 2BR Fully Furnished,2,1,Tebet,Jakarta Selatan,106.854417,-6.242631,1,40,Tower TA,23,IDR,96000000
Springhill Terrace Residence Studio View City,0,1,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,33,Tower OakWood,14,IDR,66000000
Mediterania Garden Residence 1 2BR View City,2,1,Tanjung Duren,Jakarta Barat,106.788342,-6.174634,1,40,Tower D,21,IDR,42000000
Sunter Park View Apartment 2BR Tower BC,2,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,35,Tower BC,21,IDR,35000000
Gading Nias Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.91636,-6.154352,1,35,Tower Emerald,21,IDR,27000000
Saladdin Mansion Studio Semi Furnished,0,1,Margonda,Depok,106.8241,-6.3929,0,18,Tower B,11,IDR,20000000
The Mansion Dukuh Golf Kemayoran 2BR,2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,85,Tower A,15,IDR,160000000
Puri Park View Apartment 2BR View City,2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35,Tower E,20,IDR,48000000
City Resort Apartment 2BR + 1BR Semi Furnished,2,2,Cengkareng,Jakarta Barat,106.731913,-6.13626,0,55,Tower Bougenville,21,IDR,42400000
Altiz Apartment 2BR Tower Altiz,2,1,Bintaro,Tangerang,106.7429,-6.273751,1,40,Tower Altiz,21,IDR,60000000
Sudirman Park Apartment 2BR Fully Furnished,2,1,Sudirman,Jakarta Pusat,106.818029,-6.205971,1,48,Tower B,23,IDR,96000000
Taman Anggrek Residence 3BR View city,3,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,65,Tower Daffodil,10,IDR,80000000
Puri Orchard Apartment 2BR Fully Furnished,2,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,50,Tower A wing B,21,IDR,60000000
Metro Park Residence 2BR View Pool (Barat),2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,0,53,Tower Milan,16,IDR,42000000
Lavenue Apartment 2BR Tower South,2,2,Pancoran,Jakarta Selatan,106.842971,-6.24805,1,100,Tower South,22,IDR,216000000
Kuningan Place Apartment 2BR Tower Infinia,2,1,Kuningan,Jakarta Selatan,106.835352,-6.212898,1,75,Tower Infinia,22,IDR,168000000
Kalibata City Apartment 1BR  Furnished,1,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,30,Tower Kemuning,20,IDR,66000000
Cinere Resort Apartment Studio Tower Kintamani,0,1,Cinere,Depok,106.794812,-6.33638,1,22,Tower Kintamani,18,IDR,30000000
Bintaro Plaza Residence Studio View city,0,1,Bintaro,Jakarta Selatan,106.7428,-6.2735,1,28,Tower Brezee,16,IDR,60000000
Green Lake Sunter Apartment 2BR Tower South,2,1,Sunter,Jakarta Utara,106.875949,-6.14477,1,42,Tower South,20,IDR,45000000
Casa De Parco Apartment Studio Fully Furnished,0,1,BSD City,Tangerang,106.652113,-6.3064,1,33,Tower Cassea,21,IDR,45000000
Mediterania Garden Residence 2 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42,Tower F,24,IDR,47000000
Pakubuwono Terrace Studio View City,0,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,23,Tower North,20,IDR,36000000
Kalibata City Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33,Tower Sakura,19,IDR,57950000
Kalibata City Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33,Tower gaharu,20,IDR,52000000
Taman Anggrek Condominium Apartment 2BR View City,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,Tower 5,24,IDR,135000000
Cibubur Village Apartment 2BR Tower E,2,1,Cibubur,Jakarta Timur,106.8866,-6.3697,0,35,Tower E,12,IDR,30000000
Belmont Residence 1BR View city,1,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,0,32,Tower Athena,9,IDR,48000000
Thamrin Residence Apartment 2BR Tower C,2,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,65,Tower C,24,IDR,120000000
Season City Apartment 2 BR Semi Furnished,2,1,Grogol,Jakarta Barat,106.796056,-6.153652,0,49,Tower A,12,IDR,40000000
Sudirman Suites Jakarta 3BR View City,3,1,Bendungan Hilir,Jakarta Pusat,106.8163,-6.2156,1,64,Tower -,10,IDR,261000000
Puri Mansion  Studio Semi Furnished,0,1,Puri Indah,Jakarta Barat,106.728591,-6.182729,0,26,Tower Amethyst,14,IDR,41500000
Puri Orchard Apartment 1BR Tower OG,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35,Tower OG,13,IDR,27000000
Metro Park Residence 2BR View Hoek,2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,58,Tower Milan,18,IDR,70000000
Casa De Parco Apartment Studio Tower Cassea,0,1,BSD City,Tangerang,106.652113,-6.3064,1,33,Tower Cassea,20,IDR,45000000
St. Moritz 3BR,3,2,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,112,Tower The Royale Suites,18,IDR,195000000
Taman Anggrek Residences 2BR Full Furnished Calypso,2,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,50,Tower Calypso,7,IDR,80000000
Grand Dhika City Apartment Studio Fully Furnished,0,1,Kalimalang,Bekasi,107.0197,-6.2621,1,24,Tower Cempaka,13,IDR,36000000
Kuningan City (Denpasar Residence) 1BR View Pool,1,1,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,60,Tower Ubud,24,IDR,228000000
Green Bay Pluit Apartment 2BR Tower Flamboyan,2,1,Pluit,Jakarta Utara,106.778618,-6.109022,1,38,Tower Flamboyan,23,IDR,39500000
Pancoran Riverside Apartment 1BR Tower C,1,1,Pancoran,Jakarta Selatan,106.861756,-6.252397,0,31,Tower C,19,IDR,32400000
Mediterania Gajah Mada Apartment 2BR Semi Furnished,2,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,1,47,Tower A,17,IDR,50000000
Puri Garden Apartment 3BR View Pool (Utara),3,2,Kembangan,Jakarta Barat,106.735243,-6.185323,1,71,Tower 1,23,IDR,180000000
Puri Orchard Apartment 1BR Tower Cedar Heigt,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,35,Tower Cedar Heigt,20,IDR,49000000
Kemang Village Apartment 2BR Fully Furnished,2,2,Kemang,Jakarta Selatan,106.811453,-6.259374,1,105,Tower Cosmo,22,IDR,240000000
Brawijaya Apartment 1BR Fully Furnished,1,1,Kebayoran Baru,Jakarta Selatan,106.808433,-6.2499,1,100,Tower -,22,IDR,360000000
Setiabudi Sky Garden 2BR Tower sky,2,2,Setiabudi,Jakarta Selatan,106.828806,-6.215463,1,93,Tower sky,24,IDR,300000000
Hamptons Park Apartment 2BR Tower C,2,2,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,82,Tower C,24,IDR,246000000
ST Moritz Apartment 3BR Tower the new presidential suite,3,3,Puri Indah,Jakarta Barat,106.73873,-6.190723,0,307,Tower the new presidential suite,22,IDR,480000000
Gading Green Hill Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.915901,-6.14809,1,48,Tower B,22,IDR,47000000
Gading Icon Apartment 2BR Tower C,2,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36,Tower C,20,IDR,25000000
Cosmo Mansion - Thamrin City 2BR View city and pool,2,1,Thamrin,Jakarta Pusat,106.818654,-6.194443,1,71,Tower Cosmo Mansion,21,IDR,120000000
ST Moritz Apartment 2BR View City,2,1,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,84,Tower New Royal,24,IDR,144000000
Pluit Sea View 2BR Tower C,2,1,Pluit,Jakarta Utara,106.807122,-6.121077,0,35,Tower C,18,IDR,35000000
Kuningan City (Denpasar Residence) 2BR Fully Furnished,2,2,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,77,Tower Kintamani,24,IDR,195000000
Kebagusan City Apartment Studio Fully Furnished,0,1,Kebagusan,Jakarta Selatan,106.835418,-6.307531,1,21,Tower C,22,IDR,40000000
Batavia Apartment 1BR Tower 1,1,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,54,Tower 1,23,IDR,132000000
Grand Kartini Apartment 2BR Semi Furnished,2,1,Mangga Besar,Jakarta Pusat,106.834047,-6.149718,0,50,Tower 1,19,IDR,54000000
U Residence Karawaci Studio Tower 3,0,1,Karawaci,Tangerang,106.607673,-6.228493,1,35,Tower 3,17,IDR,40000000
Scientia Residences Summarecon Serpong Studio Fully Furnished,0,1,Serpong,Tangerang,106.615252,-6.256026,1,28,Tower D,12,IDR,34000000
Lavenue Apartment 2BR Tower South,2,2,Pancoran,Jakarta Selatan,106.842971,-6.24805,1,99,Tower South,22,IDR,160000000
U Residence Karawaci Studio Fully Furnished,0,1,Karawaci,Tangerang,106.607673,-6.228493,1,35,Tower 2,21,IDR,50000000
Casa Grande Apartment 1BR Tower Montreal,1,1,Casablanca,Jakarta Selatan,106.842672,-6.224187,1,52,Tower Montreal,24,IDR,132000000
Kuningan City (Denpasar Residence) 1BR Fully Furnished,1,1,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,48,Tower Ubud,24,IDR,156000000
Metro Park Residence 3BR Non Furnished,3,2,Kedoya,Jakarta Barat,106.757651,-6.186415,0,75,Tower Milan,16,IDR,95000000
Taman Anggrek Residence 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,44,Tower Calypso,15,IDR,137000000
Gading Icon Apartment 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36,Tower A,20,IDR,24500000
City Lofts Apartment 2BR Semi Furnished,2,1,Sudirman,Jakarta Pusat,106.818351,-6.208956,0,200,Tower 1,19,IDR,480000000
Pakubuwono Terrace 2BR Tower North,2,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,50,Tower North,20,IDR,65000000
Taman Anggrek Residence 1BR Tower Fragrant,1,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,38,Tower Fragrant,14,IDR,65500000
Puri Kemayoran Apartment 1BR Fully Furnished,1,1,Kemayoran,Jakarta Pusat,106.850611,-6.155864,1,49,Tower 2,20,IDR,54000000
The Mansion Kemayoran Bougenville 2BR Tower Gloria,2,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,49,Tower Gloria,19,IDR,57000000
Thamrin Residence Apartment 2BR Fully Furnished,2,1,Thamrin,Jakarta Pusat,106.816842,-6.197352,1,65,Tower A,24,IDR,120000000
Kalibata City Apartment 1BR View City,1,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,21,Tower Nusa Indah,20,IDR,44050000
Kalibata Green Palace Studio FULL FURNISHED,0,1,Kalibata,Jakarta Selatan,106.849866,-6.257697,1,23,Tower Sakura,15,IDR,43000000
Royal Mediterania Garden Residence 2BR Fully Furnished,2,2,Tanjung Duren,Jakarta Barat,106.789248,-6.176076,1,53,Tower MariGold,20,IDR,90000000
Cosmo Terrace - Thamrin City 2BR Fully Furnished,2,1,Thamrin,Jakarta Pusat,106.815474,-6.194509,1,50,Tower Cosmo Terrace,21,IDR,103950000
Taman Anggrek Condominium Apartment 2BR Tower 5,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,Tower 5,24,IDR,90000000
Mediterania Marina Ancol Apartment 2BR View Pool (Barat),2,1,Ancol,Jakarta Utara,106.82921,-6.128082,1,45,Tower D,23,IDR,50100000
Bassura City Apartment 2BR View pool,2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,34,Tower H,20,IDR,48000000
Kalibata City Apartment 2BR Fully Furnished,2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,32,Tower D,20,IDR,42000000
Marbella Kemang Residence Apartment 3BR Fully Furnished,2,2,Kemang,Jakarta Selatan,106.814385,-6.247255,1,66,Tower A,24,IDR,105000000
B Residence BSD Studio Non Furnished,0,1,BSD City,Tangerang,106.6381,6.3043,0,20,Tower Rose,17,IDR,40000000
Belmont Residence 3BR Fully Furnished,3,2,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,69,Tower Mont Blanc,17,IDR,81550000
Essence Darmawangsa Apartment 2BR View City (Selatan),2,1,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,83,Tower 1,22,IDR,252000000
Batavia Apartment 1BR Fully Furnished,1,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,38,Tower 2,22,IDR,84000000
Taman Anggrek Condominium Apartment 2BR Fully Furnished,2,1,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,88,Tower 3,23,IDR,108000000
Elpis Residences Apartment 2BR Tower C,2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,0,42,Tower C,17,IDR,74000000
Hamptons Park Apartment 2BR View City (Utara),2,2,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,82,Tower A,23,IDR,218700000
Senayan Residence 3BR Tower,3,3,Senayan,Jakarta Selatan,106.794123,-6.222613,1,170,Tower -,20,IDR,521400000
Neo Soho Residence 1 BR View city,1,2,Tanjung Duren,Jakarta Barat,106.790105,-6.174872,0,120,Tower -,15,IDR,120000000
Pakubuwono Residence 3BR Tower Sandalwood,3,3,Pakubuwono,Jakarta Selatan,106.78608,-6.236956,0,303,Tower Sandalwood,22,USD,54000
Menteng Park Studio Fully Furnished,0,1,Menteng,Jakarta Pusat,106.838463,-6.191791,1,28,Tower 1,22,IDR,110000000
The H Residences 1BR Tower I,1,1,MT Haryono,Jakarta Timur,106.872311,-6.245309,1,42,Tower I,22,IDR,84000000
Batavia Apartment 1BR Fully Furnished,1,1,Bendungan Hilir,Jakarta Pusat,106.813631,-6.211458,1,49,Tower 1,23,IDR,108000000
The Royale SpringHill Residence 3BR Non Furnished,3,2,Kemayoran,Jakarta Pusat,106.85069,-6.146146,0,192,Tower Lotus,18,IDR,180000000
Landmark Residence 2BR View City,2,1,Cicendo,Bandung,107.5928,-6.9124,1,0,Tower A,18,IDR,80000000
The Mansion Kemayoran Jasmine 1BR Non Furnished,1,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,0,49,Tower D,16,IDR,55000000
Taman Anggrek Residence 2BR Non Furnished,2,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,99,Tower Beech,11,IDR,155000000
MOI City Home 2BR Fully Furnished,2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,45,Tower San Fransisco,22,IDR,63000000
Lavenue Apartment 2BR View City (Selatan),2,1,Pancoran,Jakarta Selatan,106.842971,-6.24805,0,99,Tower South,19,IDR,156000000
Kemang Village 2BR,2,2,Kemang,Jakarta Selatan,106.811453,-6.259374,1,120,Tower Infinity,13,IDR,295000000
The Mansion Kemayoran Jasmine 2BR Tower Capilano,2,1,Kemayoran,Jakarta Pusat,106.854936,-6.147823,0,70,Tower Capilano,18,IDR,50000000
Ciputra International Puri 1BR View Pool,1,1,Puri Indah,Jakarta Barat,106.730093,-6.174074,0,38,Tower Amsterdam,9,IDR,40000000
Tifolia Apartment Studio Fully Furnished,0,1,Pulomas,Jakarta Timur,106.892794,-6.17518,1,21,Tower Tifolia,18,IDR,26000000
Signature Park Grande Studio Fully Furnished,0,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,25,Tower Green Signature,20,USD,54000000
Puri Mansion  Studio View City,0,1,Puri Indah,Jakarta Barat,106.728591,-6.182729,1,26,Tower Amethys,13,IDR,51000000
